Latitude,Longitude,WnvPresent,Week,Tavg,DewPoint,WetBulb,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,CsTS,CsRA,CsTSRA,CsBR,RelativeHumidity,NightTime,DayTime,Tavg_7daysbf,DewPoint_7daysbf,PrecipTotal_7daysbf,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,WnvRisk_low,WnvRisk_medium,WnvRisk_high
41.95469,-87.800991,0,22,74.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,57.39844888625208,9.066666666666665,14.933333333333335,0.0,0,0.0,0,1,0,0,0,1
41.95469,-87.800991,0,22,74.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,57.39844888625208,9.066666666666665,14.933333333333335,0.0,0,0.0,0,0,1,0,0,1
41.994991,-87.769279,0,22,74.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,57.39844888625208,9.066666666666665,14.933333333333335,0.0,0,0.0,0,0,1,1,0,0
41.974089,-87.824812,0,22,74.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,57.39844888625208,9.066666666666665,14.933333333333335,0.0,0,0.0,0,1,0,0,1,0
41.974089,-87.824812,0,22,74.0,58,65.0,0.0,29.39,30.11,5.8,18,6.5,0,0,0,1,57.39844888625208,9.066666666666665,14.933333333333335,0.0,0,0.0,0,0,1,0,1,0
41.9216,-87.666455,0,22,77.0,59,66.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,53.83064226424435,9.066666666666665,14.933333333333335,0.0,0,0.0,0,0,1,0,1,0
41.891118,-87.654491,0,22,77.0,59,66.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,53.83064226424435,9.066666666666665,14.933333333333335,0.0,0,0.0,0,0,1,1,0,0
41.867108,-87.654224,0,22,77.0,59,66.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,53.83064226424435,9.066666666666665,14.933333333333335,74.0,58,0.0,0,1,0,0,1,0
41.867108,-87.654224,0,22,77.0,59,66.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,53.83064226424435,9.066666666666665,14.933333333333335,74.0,58,0.0,0,0,1,0,1,0
41.896282,-87.655232,0,22,77.0,59,66.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,53.83064226424435,9.066666666666665,14.933333333333335,74.0,58,0.0,0,0,1,1,0,0
41.919343,-87.694259,0,22,77.0,59,66.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,53.83064226424435,9.066666666666665,14.933333333333335,74.0,58,0.0,0,1,0,1,0,0
41.921965,-87.632085,0,22,77.0,59,66.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,53.83064226424435,9.066666666666665,14.933333333333335,74.0,58,0.0,0,1,0,0,1,0
41.921965,-87.632085,0,22,77.0,59,66.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,53.83064226424435,9.066666666666665,14.933333333333335,77.0,59,0.0,0,0,1,0,1,0
41.688324,-87.676709,0,22,77.0,59,66.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,53.83064226424435,9.066666666666665,14.933333333333335,77.0,59,0.0,0,1,0,0,1,0
41.688324,-87.676709,0,22,77.0,59,66.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,53.83064226424435,9.066666666666665,14.933333333333335,77.0,59,0.0,0,0,1,0,1,0
41.862292,-87.64886,0,22,77.0,59,66.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,53.83064226424435,9.066666666666665,14.933333333333335,77.0,59,0.0,0,0,1,1,0,0
41.720848,-87.666014,0,22,77.0,59,66.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,53.83064226424435,9.066666666666665,14.933333333333335,77.0,59,0.0,0,0,1,0,1,0
41.731922,-87.677512,0,22,77.0,59,66.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,53.83064226424435,9.066666666666665,14.933333333333335,77.0,59,0.0,0,0,1,0,1,0
41.731922,-87.677512,0,22,77.0,59,66.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,53.83064226424435,9.066666666666665,14.933333333333335,77.0,59,0.0,1,0,0,0,1,0
41.891126,-87.61156,0,22,77.0,59,66.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,53.83064226424435,9.066666666666665,14.933333333333335,77.0,59,0.0,0,1,0,1,0,0
41.891126,-87.61156,0,22,77.0,59,66.0,0.0,29.44,30.09,5.8,16,7.4,0,0,0,1,53.83064226424435,9.066666666666665,14.933333333333335,77.0,59,0.0,0,0,1,1,0,0
